,country,year,type,TN,TP,accuracy
5132,PL,2018,DT,0.9913300492610837,0.04066811909949165,0.7884376937383757
5137,PL,2018,DT,0.9913300492610837,0.04066811909949165,0.7884376937383757
5133,PL,2018,LDA,0.9913300492610837,0.04066811909949165,0.7884376937383757
5138,PL,2018,LDA,0.9913300492610837,0.04066811909949165,0.7884376937383757
5131,PL,2018,LR,0.9913300492610837,0.04066811909949165,0.7884376937383757
5136,PL,2018,LR,0.9913300492610837,0.04066811909949165,0.7884376937383757
5130,PL,2018,LR - Youden's J,0.9900900900900901,0.027833001988071572,0.7884376937383757
5135,PL,2018,LR - Youden's J,0.9900900900900901,0.027833001988071572,0.7884376937383757
5134,PL,2018,NB,0.9913300492610837,0.04066811909949165,0.4324240545567266
5139,PL,2018,NB,0.9913300492610837,0.04066811909949165,0.4324240545567266
5142,PL,2019,DT,1.0,0.0,0.7995899538698104
5147,PL,2019,DT,1.0,0.0,0.7995899538698104
5143,PL,2019,LDA,1.0,0.0,0.7995899538698104
5148,PL,2019,LDA,1.0,0.0,0.7995899538698104
5141,PL,2019,LR,1.0,0.0,0.7995899538698104
5146,PL,2019,LR,1.0,0.0,0.7995899538698104
5140,PL,2019,LR - Youden's J,1.0,0.0,0.7995899538698104
5145,PL,2019,LR - Youden's J,1.0,0.0,0.7995899538698104
5144,PL,2019,NB,1.0,0.0,0.4225183666495814
5149,PL,2019,NB,1.0,0.0,0.4225183666495814
5152,PT,1998,DT,0.6563706563706564,0.391025641025641,0.6216442953020134
5157,PT,1998,DT,0.6563706563706564,0.391025641025641,0.6216442953020134
5153,PT,1998,LDA,0.611969111969112,0.4230769230769231,0.587248322147651
5158,PT,1998,LDA,0.611969111969112,0.4230769230769231,0.587248322147651
5151,PT,1998,LR,0.611969111969112,0.4230769230769231,0.587248322147651
5156,PT,1998,LR,0.611969111969112,0.4230769230769231,0.587248322147651
5150,PT,1998,LR - Youden's J,0.7242744063324539,0.5967741935483871,0.587248322147651
5155,PT,1998,LR - Youden's J,0.7242744063324539,0.5967741935483871,0.587248322147651
5154,PT,1998,NB,0.611969111969112,0.4230769230769231,0.37080536912751677
5159,PT,1998,NB,0.611969111969112,0.4230769230769231,0.37080536912751677
5162,PT,1999,DT,0.30497237569060776,0.8203592814371258,0.38526119402985076
5167,PT,1999,DT,0.30497237569060776,0.8203592814371258,0.38526119402985076
5163,PT,1999,LDA,0.30497237569060776,0.8203592814371258,0.38526119402985076
5168,PT,1999,LDA,0.30497237569060776,0.8203592814371258,0.38526119402985076
5161,PT,1999,LR,0.6,0.49700598802395207,0.5839552238805971
5166,PT,1999,LR,0.6,0.49700598802395207,0.5839552238805971
5160,PT,1999,LR - Youden's J,0.6940298507462687,0.5970149253731343,0.5839552238805971
5165,PT,1999,LR - Youden's J,0.6940298507462687,0.5970149253731343,0.5839552238805971
5164,PT,1999,NB,0.30497237569060776,0.8203592814371258,0.38526119402985076
5169,PT,1999,NB,0.30497237569060776,0.8203592814371258,0.38526119402985076
5172,PT,2000,DT,0.5150571131879543,0.56875,0.5227070347284061
5177,PT,2000,DT,0.5150571131879543,0.56875,0.5227070347284061
5173,PT,2000,LDA,0.818276220145379,0.275,0.7408726625111309
5178,PT,2000,LDA,0.818276220145379,0.275,0.7408726625111309
5171,PT,2000,LR,0.818276220145379,0.275,0.7408726625111309
5176,PT,2000,LR,0.818276220145379,0.275,0.7408726625111309
5170,PT,2000,LR - Youden's J,0.8734353268428373,0.31683168316831684,0.7408726625111309
5175,PT,2000,LR - Youden's J,0.8734353268428373,0.31683168316831684,0.7408726625111309
5174,PT,2000,NB,0.818276220145379,0.275,0.3668744434550312
5179,PT,2000,NB,0.818276220145379,0.275,0.3668744434550312
5182,PT,2001,DT,0.8806629834254144,0.1320754716981132,0.768796992481203
5187,PT,2001,DT,0.8806629834254144,0.1320754716981132,0.768796992481203
5183,PT,2001,LDA,0.8806629834254144,0.1320754716981132,0.768796992481203
5188,PT,2001,LDA,0.8806629834254144,0.1320754716981132,0.768796992481203
5181,PT,2001,LR,0.9104972375690608,0.06918238993710692,0.7847744360902256
5186,PT,2001,LR,0.9104972375690608,0.06918238993710692,0.7847744360902256
5180,PT,2001,LR - Youden's J,0.9513888888888888,0.16569767441860464,0.7847744360902256
5185,PT,2001,LR - Youden's J,0.9513888888888888,0.16569767441860464,0.7847744360902256
5184,PT,2001,NB,0.8806629834254144,0.1320754716981132,0.40131578947368424
5189,PT,2001,NB,0.8806629834254144,0.1320754716981132,0.40131578947368424
5192,PT,2002,DT,0.8522012578616353,0.15384615384615385,0.7403169014084507
5197,PT,2002,DT,0.8522012578616353,0.15384615384615385,0.7403169014084507
5193,PT,2002,LDA,0.80083857442348,0.23626373626373626,0.710387323943662
5198,PT,2002,LDA,0.80083857442348,0.23626373626373626,0.710387323943662
5191,PT,2002,LR,0.80083857442348,0.23626373626373626,0.710387323943662
5196,PT,2002,LR,0.80083857442348,0.23626373626373626,0.710387323943662
5190,PT,2002,LR - Youden's J,0.8777923784494087,0.37333333333333335,0.710387323943662
5195,PT,2002,LR - Youden's J,0.8777923784494087,0.37333333333333335,0.710387323943662
5194,PT,2002,NB,0.80083857442348,0.23626373626373626,0.39436619718309857
